"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"15.614774591","0","0","0"
"30.615847169","0","0","0"
"45.615183289","83","83","83"
"60.615237775","87","87","87"
"75.615429983","86","86","86"
"90.61578739","80","80","80"
"105.61554183","97","97","97"
"120.615130383","91","91","91"
"135.615089879","81","81","81"
"150.616272079","87","87","87"
"165.616447335","86","86","86"
"180.614405807","93","93","93"
"195.614872911","83","83","83"
"210.615552422","89","89","89"
"225.616030122","88","88","88"
"240.614498811","79","79","79"
"255.61488984","94","94","94"
"270.615027765","76","76","76"
"285.619243214","84","84","84"
"300.615114205","93","93","93"
"315.614961762","82","82","82"
"330.61513227","92","92","92"
"345.616400598","96","96","96"
"360.615485631","69","69","69"
"375.615192952","59","59","59"
"390.614885838","95","95","95"
"405.615677919","95","95","95"
"420.616093486","91","91","91"
"435.615170667","92","92","92"
"450.615402871","77","77","77"
"465.615647734","91","91","91"
"480.617222092","86","86","86"
"495.614983415","84","84","84"
"510.615451296","56","56","56"
"525.615102967","86","86","86"
"540.615920193","74","74","74"
"555.615328336","87","87","87"
"570.614317645","94","94","94"
"585.615787066","75","75","75"
"600.615571734","93","93","93"
"615.61573188","87","87","87"
"630.614787502","78","78","78"
"645.615148455","90","90","90"
"660.615793988","89","89","89"
"675.616251488","97","97","97"
"690.615476967","71","71","71"
"705.615274374","97","97","97"
"720.615784983","93","93","93"
"735.617431043","84","84","84"
"750.615658411","94","94","94"
"765.615515526","88","88","88"
"780.614891914","88","88","88"
"795.615682738","89","89","89"
"810.615168222","90","90","90"
"825.614960645","91","91","91"
"840.615667764","88","88","88"
"855.615929056","79","79","79"
"870.615379339","87","87","87"
"885.614950748","90","90","90"
"900.615148144","94","94","94"
"915.617639431","89","89","89"
"930.614944849","89","89","89"
"945.614736154","80","80","80"
"960.616673732","91","91","91"
"975.6155521","75","75","75"
"990.615023082","91","91","91"
"1005.615002368","92","92","92"
"1020.616235247","84","84","84"
"1035.615301268","98","98","98"
"1050.615511032","85","85","85"
"1065.615316488","87","87","87"
"1080.615628588","92","92","92"
"1095.615139845","94","94","94"
"1110.615232563","89","89","89"
"1125.615789082","93","93","93"
"1140.616261571","90","90","90"
"1155.614798724","72","72","72"
"1170.614517949","96","96","96"
"1185.615387923","89","89","89"
"1200.618334407","91","91","91"
"1215.615210664","97","97","97"
"1230.615707239","92","92","92"
"1245.614878056","92","92","92"
"1260.617409382","81","81","81"
"1275.615067601","96","96","96"
"1290.615480881","72","72","72"
"1305.615878524","97","97","97"
"1320.617376177","94","94","94"
"1335.615625761","71","71","71"
"1350.615112362","81","81","81"
"1365.615730251","90","90","90"
"1380.617746971","98","98","98"
"1395.615092489","63","63","63"
"1410.614735409","95","95","95"
"1425.615765112","70","70","70"
"1440.615766139","85","85","85"
"1455.615038129","77","77","77"
"1470.615764277","79","79","79"
"1485.616193517","82","82","82"
"1500.617857655","89","89","89"
"1515.615564754","90","90","90"
"1530.615394287","92","92","92"
"1545.614934926","54","54","54"
"1560.617448641","93","93","93"
"1575.614680999","63","63","63"
"1590.615196035","85","85","85"
"1605.615166641","84","84","84"
"1620.617431979","91","91","91"
"1635.614682507","80","80","80"
"1650.615157603","86","86","86"
"1665.615100902","92","92","92"
"1680.61777775","83","83","83"
"1695.615074316","83","83","83"
"1710.614784651","90","90","90"
"1725.614744832","61","61","61"
"1740.616224167","89","89","89"
"1755.615187989","94","94","94"
"1770.615297538","88","88","88"
"1785.615382294","89","89","89"
"1800.616095729","77","77","77"
"1815.615598329","76","76","76"
"1830.615345838","88","88","88"
"1845.615539493","93","93","93"
"1860.618592156","87","87","87"
"1875.615142904","94","94","94"
"1890.614351875","92","92","92"
"1905.615421975","81","81","81"
"1920.61632007","98","98","98"
"1935.615176479","89","89","89"
"1950.615245885","82","82","82"
"1965.614649513","85","85","85"
"1980.615787722","85","85","85"
"1995.615171163","90","90","90"
"2010.615175151","88","88","88"
"2025.615435601","87","87","87"
"2040.616217436","76","76","76"
"2055.61484186","90","90","90"
"2070.615512379","85","85","85"
"2085.615101588","94","94","94"
"2100.621188783","91","91","91"
"2115.616236375","97","97","97"
"2130.614594287","90","90","90"
"2145.614685494","79","79","79"
"2160.616309623","90","90","90"
"2175.616086896","94","94","94"
"2190.615260933","87","87","87"
"2205.615530396","90","90","90"
"2220.615234567","72","72","72"
"2235.616754836","89","89","89"
"2250.614783596","91","91","91"
"2265.615181263","92","92","92"
"2280.615421358","83","83","83"
"2295.615854908","92","92","92"
"2310.615531001","94","94","94"
"2325.615502434","91","91","91"
