"Relative Time (Process)","train50-dali - system/gpu.0.gpu","train50-dali - system/gpu.0.gpu__MIN","train50-dali - system/gpu.0.gpu__MAX"
"15.725833367","0","0","0"
"30.72473289","0","0","0"
"45.725281752","81","81","81"
"60.725092269","78","78","78"
"75.727639048","81","81","81"
"90.725504476","96","96","96"
"105.724889263","82","82","82"
"120.726714682","94","94","94"
"135.726513944","63","63","63"
"150.724871703","69","69","69"
"165.725320674","81","81","81"
"180.726732864","92","92","92"
"195.725613692","83","83","83"
"210.725393934","71","71","71"
"225.725180415","92","92","92"
"240.72640653","65","65","65"
"255.725262872","82","82","82"
"270.725333615","80","80","80"
"285.725506259","84","84","84"
"300.726305911","84","84","84"
"315.725045932","88","88","88"
"330.725588674","88","88","88"
"345.724844966","75","75","75"
"360.726406117","91","91","91"
"375.725245273","98","98","98"
"390.724828941","69","69","69"
"405.725732209","86","86","86"
"420.729495125","96","96","96"
"435.725009418","82","82","82"
"450.725005597","69","69","69"
"465.725259146","94","94","94"
"480.72865862","84","84","84"
"495.725082979","88","88","88"
"510.725647625","72","72","72"
"525.725499211","74","74","74"
"540.728349685","82","82","82"
"555.725520007","81","81","81"
"570.72479355","94","94","94"
"585.725815944","75","75","75"
"600.728709295","80","80","80"
"615.725446764","91","91","91"
"630.725801145","92","92","92"
"645.725653587","75","75","75"
"660.726318612","89","89","89"
"675.72527159","90","90","90"
"690.725687885","79","79","79"
"705.7259632","90","90","90"
"720.726496511","72","72","72"
"735.725595378","48","48","48"
"750.725239008","86","86","86"
"765.725212136","61","61","61"
"780.726053226","85","85","85"
"795.725673507","60","60","60"
"810.725300938","81","81","81"
"825.725545947","74","74","74"
"840.726292157","70","70","70"
"855.725607082","81","81","81"
"870.725070371","68","68","68"
"885.724968585","95","95","95"
"900.726176768","76","76","76"
"915.725620797","78","78","78"
"930.725304944","93","93","93"
"945.725403189","91","91","91"
"960.726509998","63","63","63"
"975.725461055","96","96","96"
"990.725050183","92","92","92"
"1005.725065639","92","92","92"
"1020.731363588","91","91","91"
"1035.725960657","72","72","72"
"1050.725434829","99","99","99"
"1065.725155907","91","91","91"
"1080.726550667","92","92","92"
"1095.725825493","79","79","79"
"1110.725055437","93","93","93"
"1125.725842387","91","91","91"
"1140.726561195","82","82","82"
"1155.726229289","83","83","83"
"1170.725254057","82","82","82"
"1185.724986268","78","78","78"
"1200.726253634","54","54","54"
"1215.725403001","62","62","62"
"1230.724745887","89","89","89"
"1245.72522426","90","90","90"
"1260.725810415","80","80","80"
"1275.727523263","73","73","73"
"1290.725277447","80","80","80"
"1305.726242463","48","48","48"
"1320.726364263","92","92","92"
"1335.725733079","93","93","93"
"1350.725323193","77","77","77"
"1365.725349115","79","79","79"
"1380.7255688","79","79","79"
"1395.727255231","68","68","68"
"1410.725194085","75","75","75"
"1425.724751667","77","77","77"
"1440.725625943","92","92","92"
"1455.726309357","77","77","77"
"1470.725937771","56","56","56"
"1485.725320108","70","70","70"
"1500.725658413","81","81","81"
"1515.727686485","74","74","74"
"1530.725586623","61","61","61"
"1545.725268552","85","85","85"
"1560.725627741","58","58","58"
"1575.72673418","94","94","94"
"1590.725798485","83","83","83"
"1605.724869425","72","72","72"
"1620.72564276","73","73","73"
"1635.726469534","77","77","77"
"1650.727231552","96","96","96"
"1665.725075321","86","86","86"
"1680.724950083","53","53","53"
"1695.726855212","79","79","79"
"1710.727016201","90","90","90"
"1725.725042866","86","86","86"
"1740.725015745","66","66","66"
"1755.724859792","66","66","66"
"1770.727438659","68","68","68"
"1785.72454249","92","92","92"
"1800.72506183","82","82","82"
"1815.725290596","86","86","86"
"1830.72655771","82","82","82"
"1845.72561149","83","83","83"
"1860.72540093","78","78","78"
