"Relative Time (Process)","train50-no-dali - system/gpu.0.gpu","train50-no-dali - system/gpu.0.gpu__MIN","train50-no-dali - system/gpu.0.gpu__MAX"
"15.632350239","0","0","0"
"30.632671912","0","0","0"
"45.632811156","0","0","0"
"60.632401801","0","0","0"
"75.632412443","0","0","0"
"90.632740869","96","96","96"
"105.633464507","70","70","70"
"120.632510186","90","90","90"
"135.632166926","87","87","87"
"150.632514167","90","90","90"
"165.633909879","93","93","93"
"180.633466143","88","88","88"
"195.63212476","92","92","92"
"210.632464275","79","79","79"
"225.634111453","91","91","91"
"240.634440503","96","96","96"
"255.632020838","70","70","70"
"270.631785827","99","99","99"
"285.633014995","83","83","83"
"300.634178537","91","91","91"
"315.632189625","43","43","43"
"330.63259314","84","84","84"
"345.632429024","84","84","84"
"360.633301241","91","91","91"
"375.632618334","77","77","77"
"390.631942675","86","86","86"
"405.632678253","77","77","77"
"420.633462269","94","94","94"
"435.632660707","92","92","92"
"450.632369126","90","90","90"
"465.632580696","94","94","94"
"480.633645115","94","94","94"
"495.633190117","87","87","87"
"510.632046156","86","86","86"
"525.632506097","85","85","85"
"540.633268479","86","86","86"
"555.633971103","93","93","93"
"570.631855196","99","99","99"
"585.632109665","93","93","93"
"600.632283068","87","87","87"
"615.634900657","76","76","76"
"630.632251484","97","97","97"
"645.632560736","88","88","88"
"660.632273597","83","83","83"
"675.635703016","90","90","90"
"690.631866552","90","90","90"
"705.632400316","91","91","91"
"720.632610156","88","88","88"
"735.632815448","88","88","88"
"750.63283892","93","93","93"
"765.632280068","89","89","89"
"780.632451153","97","97","97"
"795.632909962","96","96","96"
"810.63301684","96","96","96"
"825.632032355","90","90","90"
"840.632357517","98","98","98"
"855.633211298","89","89","89"
"870.63401002","84","84","84"
"885.632084291","96","96","96"
"900.632548842","85","85","85"
"915.633652242","96","96","96"
"930.634763467","95","95","95"
"945.632377252","88","88","88"
"960.632845747","86","86","86"
"975.632836181","98","98","98"
"990.635279692","92","92","92"
"1005.632271936","89","89","89"
"1020.633002099","89","89","89"
"1035.632750888","87","87","87"
"1050.633152978","95","95","95"
"1065.632519467","74","74","74"
"1080.632438145","94","94","94"
"1095.632726838","74","74","74"
"1110.63332195","91","91","91"
"1125.632743813","83","83","83"
"1140.632340841","94","94","94"
"1155.632274049","71","71","71"
"1170.633362463","88","88","88"
"1185.633627075","95","95","95"
"1200.632354354","97","97","97"
"1215.631804024","51","51","51"
"1230.63246583","80","80","80"
"1245.634494926","76","76","76"
"1260.632500008","89","89","89"
"1275.631906203","95","95","95"
"1290.632080259","95","95","95"
"1305.632872512","91","91","91"
"1320.631645265","84","84","84"
"1335.632647926","93","93","93"
"1350.632781098","96","96","96"
"1365.632832748","96","96","96"
"1380.63250416","93","93","93"
"1395.632681244","73","73","73"
"1410.632361352","60","60","60"
"1425.633497472","91","91","91"
"1440.632627599","81","81","81"
"1455.63263226","92","92","92"
"1470.631941551","93","93","93"
"1485.632724015","85","85","85"
"1500.633407329","91","91","91"
"1515.632088591","82","82","82"
"1530.632803675","95","95","95"
"1545.632606593","81","81","81"
"1560.634719529","75","75","75"
"1575.632116274","92","92","92"
"1590.632167573","76","76","76"
"1605.631993997","54","54","54"
"1620.634830016","78","78","78"
"1635.632641353","92","92","92"
"1650.632150282","89","89","89"
"1665.632362389","87","87","87"
"1680.633520974","96","96","96"
"1695.632735386","69","69","69"
"1710.632687405","75","75","75"
"1725.63241673","82","82","82"
"1740.633640784","62","62","62"
"1755.632511291","88","88","88"
"1770.632087233","91","91","91"
"1785.631778793","97","97","97"
"1800.633197374","95","95","95"
"1815.633630378","84","84","84"
"1830.63166051","77","77","77"
"1845.632072521","82","82","82"
"1860.633439215","85","85","85"
"1875.634639505","97","97","97"
"1890.63246472","60","60","60"
"1905.632085117","86","86","86"
"1920.631542108","75","75","75"
"1935.633573374","69","69","69"
"1950.632275577","81","81","81"
"1965.632144788","94","94","94"
"1980.632468095","93","93","93"
"1995.632929176","88","88","88"
"2010.632659537","90","90","90"
"2025.632302309","97","97","97"
"2040.632236785","92","92","92"
"2055.633801047","95","95","95"
"2070.632357285","94","94","94"
"2085.631987006","90","90","90"
"2100.632338073","93","93","93"
"2115.632894613","93","93","93"
"2130.633195046","82","82","82"
"2145.631974722","94","94","94"
"2160.632704339","88","88","88"
"2175.633383979","88","88","88"
"2190.633884287","86","86","86"
"2205.631898316","91","91","91"
"2220.632727462","77","77","77"
"2235.63317804","78","78","78"
"2250.633746095","90","90","90"
"2265.632650176","92","92","92"
"2280.631699649","79","79","79"
"2295.63184511","83","83","83"
"2310.634778038","93","93","93"
"2325.632370819","77","77","77"
"2340.632409262","89","89","89"
"2355.632440276","86","86","86"
"2370.632783191","65","65","65"
"2385.632629507","87","87","87"
"2400.631817046","69","69","69"
"2415.632518141","95","95","95"
"2430.633421558","82","82","82"
"2445.632583976","72","72","72"
"2460.632323459","91","91","91"
"2475.632850994","88","88","88"
"2490.633822932","95","95","95"
"2505.632696788","85","85","85"
"2520.631981614","55","55","55"
"2535.631823618","88","88","88"
"2550.633611221","70","70","70"
"2565.632843902","84","84","84"
"2580.632109009","87","87","87"
"2595.63189463","79","79","79"
"2610.633842553","80","80","80"
"2625.633697311","68","68","68"
"2640.632052402","82","82","82"
"2655.632754772","81","81","81"
"2670.63287499","88","88","88"
"2685.634774707","61","61","61"
"2700.632502021","91","91","91"
"2715.632876105","89","89","89"
"2730.632555131","77","77","77"
"2745.633211364","76","76","76"
"2760.632833651","86","86","86"
"2775.632185866","94","94","94"
"2790.632766489","63","63","63"
"2805.636667695","91","91","91"
"2820.632512465","93","93","93"
"2835.63217404","84","84","84"
"2850.632144175","95","95","95"
"2865.633213859","89","89","89"
"2880.632710593","69","69","69"
"2895.632287075","91","91","91"
"2910.632179704","88","88","88"
"2925.633211938","81","81","81"
"2940.633387452","72","72","72"
"2955.632703456","95","95","95"
"2970.63267393","92","92","92"
"2985.632865053","95","95","95"
"3000.634087519","86","86","86"
"3015.632643779","92","92","92"
"3030.631886456","95","95","95"
"3045.632927458","80","80","80"
"3060.635030829","86","86","86"
"3075.632233173","94","94","94"
"3090.632389547","73","73","73"
"3105.632251588","74","74","74"
"3120.633322176","75","75","75"
"3135.632448244","94","94","94"
"3150.632714939","66","66","66"
"3165.632500315","85","85","85"
"3180.633299399","88","88","88"
"3195.632544333","88","88","88"
"3210.631959081","87","87","87"
"3225.632713539","69","69","69"
"3240.63331823","84","84","84"
"3255.632826989","67","67","67"
"3270.632201306","78","78","78"
"3285.632314639","78","78","78"
"3300.633420688","95","95","95"
"3315.633410096","81","81","81"
"3330.632642093","93","93","93"
"3345.632724335","75","75","75"
"3360.63249909","88","88","88"
"3375.634270433","85","85","85"
"3390.632774271","76","76","76"
"3405.631871922","81","81","81"
"3420.632641791","92","92","92"
"3435.636003523","90","90","90"
"3450.631714703","94","94","94"
"3465.632748202","84","84","84"
"3480.632544324","80","80","80"
"3495.63452945","79","79","79"
"3510.631877345","97","97","97"
"3525.631846518","94","94","94"
"3540.631880933","86","86","86"
"3555.63297544","75","75","75"
"3570.632073421","71","71","71"
"3585.632459225","71","71","71"
"3600.632295726","89","89","89"
"3615.633614322","81","81","81"
"3630.633122887","88","88","88"
"3645.631653072","91","91","91"
"3660.632103603","91","91","91"
"3675.633907823","95","95","95"
"3690.634184902","70","70","70"
"3705.632813587","95","95","95"
"3720.632524285","81","81","81"
"3735.63314052","72","72","72"
"3750.635052555","80","80","80"
"3765.63250795","81","81","81"
"3780.632540763","72","72","72"
"3795.632625974","89","89","89"
"3810.635534177","80","80","80"
"3825.632180072","94","94","94"
"3840.631926244","82","82","82"
"3855.632350079","98","98","98"
"3870.633651933","74","74","74"
"3885.632105877","89","89","89"
"3900.632623068","94","94","94"
"3915.632135809","76","76","76"
"3930.633882643","92","92","92"
"3945.633172097","97","97","97"
"3960.632587502","88","88","88"
"3975.63257571","89","89","89"
"3990.633599127","95","95","95"
"4005.633854675","92","92","92"
"4020.63240727","87","87","87"
"4035.633036566","91","91","91"
"4050.632183388","89","89","89"
"4065.635395233","87","87","87"
"4080.632392323","95","95","95"
"4095.63192859","98","98","98"
"4110.632335676","85","85","85"
"4125.633768141","94","94","94"
"4140.632416603","91","91","91"
"4155.63234659","95","95","95"
"4170.632500889","95","95","95"
"4185.63338845","85","85","85"
"4200.633013942","88","88","88"
"4215.631812315","91","91","91"
"4230.632620184","90","90","90"
"4245.634028489","91","91","91"
"4260.634467038","97","97","97"
"4275.632252239","90","90","90"
"4290.63286176","93","93","93"
"4305.632813783","86","86","86"
"4320.635864752","69","69","69"
"4335.632093292","80","80","80"
"4350.632531622","97","97","97"
"4365.632826116","89","89","89"
"4380.63325993","77","77","77"
"4395.632847885","94","94","94"
"4410.6318113","97","97","97"
"4425.632528226","94","94","94"
"4440.633272635","90","90","90"
"4455.633389688","68","68","68"
"4470.63208769","94","94","94"
"4485.631870452","93","93","93"
"4500.632321239","97","97","97"
"4515.634966039","94","94","94"
"4530.632649402","93","93","93"
"4545.632295122","86","86","86"
"4560.632652415","79","79","79"
"4575.63283574","93","93","93"
"4590.632570569","91","91","91"
"4605.632640385","95","95","95"
"4620.632525124","85","85","85"
"4635.63317254","95","95","95"
"4650.632664211","95","95","95"
"4665.632448041","90","90","90"
"4680.632498509","97","97","97"
"4695.634001951","86","86","86"
"4710.634297984","91","91","91"
"4725.632294927","96","96","96"
"4740.632816131","94","94","94"
"4755.632969405","77","77","77"
"4770.634393532","94","94","94"
"4785.632199166","89","89","89"
"4800.631837882","72","72","72"
"4815.632967694","93","93","93"
"4830.633222386","90","90","90"
"4845.632844217","88","88","88"
"4860.63192666","80","80","80"
"4875.632680184","89","89","89"
"4890.63306832","88","88","88"
"4905.632454327","93","93","93"
"4920.632572663","96","96","96"
"4935.632374535","98","98","98"
"4950.63351718","88","88","88"
"4965.632293569","93","93","93"
"4980.632588112","93","93","93"
"4995.632557115","97","97","97"
"5010.632645333","87","87","87"
"5025.634710761","85","85","85"
"5040.632457006","89","89","89"
"5055.63197086","88","88","88"
"5070.632188291","91","91","91"
"5085.632861046","97","97","97"
"5100.632659231","93","93","93"
"5115.632122717","82","82","82"
"5130.631769746","93","93","93"
"5145.633341619","90","90","90"
"5160.631943523","97","97","97"
"5175.632653382","87","87","87"
"5190.632859525","82","82","82"
"5205.63353762","68","68","68"
"5220.632972349","95","95","95"
"5235.632024373","93","93","93"
"5250.632966976","86","86","86"
"5265.633361171","88","88","88"
"5280.63389349","91","91","91"
"5295.632502968","80","80","80"
"5310.632927834","89","89","89"
"5325.633163516","88","88","88"
"5340.638810439","88","88","88"
"5355.632141464","93","93","93"
"5370.631843948","96","96","96"
"5385.631886096","94","94","94"
"5400.633424055","94","94","94"
"5415.631716381","88","88","88"
"5430.632150448","92","92","92"
"5445.631728519","93","93","93"
"5460.63308581","90","90","90"
"5475.632619324","94","94","94"
"5490.632507133","86","86","86"
"5505.632181134","93","93","93"
"5520.633918663","82","82","82"
"5535.632265245","95","95","95"
"5550.632526862","89","89","89"
"5565.632760684","93","93","93"
"5580.633012433","93","93","93"
"5595.634725589","92","92","92"
"5610.632269884","95","95","95"
"5625.631912996","88","88","88"
"5640.632986582","73","73","73"
"5655.633151986","77","77","77"
"5670.631848957","90","90","90"
"5685.631947321","72","72","72"
"5700.632416461","90","90","90"
"5715.633470782","92","92","92"
"5730.633051721","88","88","88"
"5745.63258427","90","90","90"
"5760.632319389","90","90","90"
"5775.63339696","76","76","76"
"5790.632503373","94","94","94"
"5805.632591064","95","95","95"
"5820.631865203","82","82","82"
"5835.633591438","91","91","91"
"5850.633723997","92","92","92"
"5865.632050815","95","95","95"
"5880.632368331","86","86","86"
"5895.633181116","80","80","80"
"5910.634808099","89","89","89"
"5925.632066856","97","97","97"
"5940.632132341","83","83","83"
"5955.633187363","85","85","85"
"5970.636250164","91","91","91"
"5985.632728557","95","95","95"
"6000.63196328","95","95","95"
"6015.631784295","93","93","93"
"6030.632861684","94","94","94"
"6045.632689723","89","89","89"
"6060.632624901","95","95","95"
"6075.631890854","92","92","92"
"6090.633454173","85","85","85"
"6105.632657851","79","79","79"
"6120.632920425","99","99","99"
"6135.632547796","95","95","95"
"6150.632318109","88","88","88"
"6165.633924766","92","92","92"
"6180.632361715","89","89","89"
"6195.632298992","95","95","95"
"6210.632723678","93","93","93"
"6225.635221379","91","91","91"
"6240.632080348","88","88","88"
"6255.632053851","77","77","77"
"6270.632527797","96","96","96"
"6285.633109853","89","89","89"
"6300.632294838","95","95","95"
"6315.632136864","93","93","93"
"6330.632528873","100","100","100"
"6345.633083134","75","75","75"
"6360.632603109","94","94","94"
"6375.632437722","90","90","90"
"6390.63259901","95","95","95"
"6405.633698554","96","96","96"
"6420.632415773","96","96","96"
"6435.632254229","79","79","79"
"6450.63282817","87","87","87"
"6465.63347454","94","94","94"
"6480.633654481","75","75","75"
"6495.632001432","92","92","92"
"6510.632300295","91","91","91"
"6525.633538018","99","99","99"
"6540.633044824","71","71","71"
"6555.632339725","92","92","92"
"6570.632322091","86","86","86"
"6585.632577512","91","91","91"
"6600.63611183","74","74","74"
"6615.631821338","88","88","88"
"6630.632541309","97","97","97"
"6645.632168932","85","85","85"
"6660.634073734","92","92","92"
"6675.632716161","81","81","81"
"6690.632313925","96","96","96"
"6705.632638479","93","93","93"
"6720.635036399","94","94","94"
"6735.632757809","89","89","89"
"6750.632160765","95","95","95"
"6765.631862365","82","82","82"
"6780.633142304","92","92","92"
"6795.633524149","89","89","89"
"6810.632584579","97","97","97"
"6825.631822088","81","81","81"
"6840.633398509","91","91","91"
"6855.634584211","87","87","87"
"6870.632600261","86","86","86"
"6885.63208865","80","80","80"
"6900.6323109","93","93","93"
"6915.635515596","94","94","94"
"6930.632191152","95","95","95"
"6945.63275931","92","92","92"
"6960.632129568","73","73","73"
"6975.633096852","92","92","92"
"6990.634562495","99","99","99"
"7005.631745884","73","73","73"
"7020.632303887","98","98","98"
"7035.633518942","91","91","91"
"7050.632476068","98","98","98"
"7065.631826019","93","93","93"
"7080.632525497","89","89","89"
"7095.633882277","94","94","94"
"7110.633508833","88","88","88"
"7125.631834237","95","95","95"
"7140.632600081","90","90","90"
"7155.633414455","80","80","80"
"7170.634537413","89","89","89"
"7185.632358718","96","96","96"
"7200.632899771","93","93","93"
"7215.633197004","92","92","92"
"7230.6357502","91","91","91"
"7245.632845657","90","90","90"
"7260.632003132","87","87","87"
"7275.631752923","87","87","87"
"7290.633045134","92","92","92"
"7305.632079791","96","96","96"
"7320.632495306","95","95","95"
"7335.632237777","77","77","77"
"7350.633041442","95","95","95"
"7365.633760008","90","90","90"
"7380.632594503","93","93","93"
"7395.632578573","72","72","72"
"7410.634049007","92","92","92"
"7425.633591965","88","88","88"
"7440.632660938","90","90","90"
"7455.632292181","86","86","86"
"7470.633531895","94","94","94"
"7485.634768306","88","88","88"
"7500.632012763","90","90","90"
"7515.632478912","87","87","87"
"7530.632343716","92","92","92"
"7545.635440417","95","95","95"
"7560.632772228","82","82","82"
"7575.632491785","76","76","76"
"7590.632132989","91","91","91"
"7605.633623187","88","88","88"
"7620.631979393","98","98","98"
"7635.632458025","94","94","94"
"7650.631877275","91","91","91"
"7665.633282769","94","94","94"
"7680.632671167","93","93","93"
"7695.631836104","90","90","90"
"7710.632562053","92","92","92"
"7725.633286564","97","97","97"
"7740.633229419","92","92","92"
"7755.632591021","87","87","87"
"7770.632004783","94","94","94"
"7785.63385623","87","87","87"
"7800.634372176","87","87","87"
"7815.632824052","99","99","99"
"7830.632991807","90","90","90"
"7845.632866238","90","90","90"
"7860.635747256","96","96","96"
"7875.632281496","93","93","93"
"7890.632332638","71","71","71"
"7905.631728305","90","90","90"
"7920.633519292","91","91","91"
"7935.632677885","85","85","85"
"7950.632445227","96","96","96"
"7965.632243607","96","96","96"
"7980.63322321","84","84","84"
"7995.632897209","94","94","94"
"8010.632489768","77","77","77"
"8025.632872949","89","89","89"
"8040.634033525","87","87","87"
"8055.633584839","97","97","97"
"8070.632618555","92","92","92"
"8085.632128035","94","94","94"
"8100.63249744","87","87","87"
